NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 932;AV S JOAO,   939, FD - CENTRO - ATIBAIA - SP ;3914;4;
Cliente Ficticio 933;R MARTINIANO DE CARVALHO,    14, APT 708 - BELA VISTA - SAO PAULO - SP ;22215;4;
Cliente Ficticio 934;R ALBERTO VEIGA,    34, BL SEM NOME, APT 13 - MARAPE - SANTOS - SP ;11495;4;
Cliente Ficticio 935;R FRANCISCO DA LIRA,   130, BL F, APT 54 - JARDIM LEONOR MENDES DE BARROS - SAO PAULO - SP ;44710;4;
Cliente Ficticio 936;R DOS VIANAS,  1545, BL 7, APT 42 - BAETA NEVES - SAO BERNARDO DO CAMPO - SP ;22439;4;
Cliente Ficticio 937;R AMARAL GAMA,350,APT 41 - SANTANA - SAO PAULO - SP ;24991;4;
Cliente Ficticio 938;R VSC DE TAUNAY,   112 - CENTRO - DIADEMA - SP ;22569;4;
Cliente Ficticio 939;R ITAPORANGA,    45 - CIDADE JARDIM - CAMPINAS - SP ;26033;4;
Cliente Ficticio 940;R DA PATRIA,   307, FD - VILA TAVEIROPOLIS - CAMPO GRANDE - MS ;14062;4;
Cliente Ficticio 941;AV HENRIQUE ANDRES,    71 - CENTRO - JUNDIAI - SP ;21991;4;
Cliente Ficticio 942;R CD DE LINHARES,    88, CASA - OSWALDO CRUZ - RIO DE JANEIRO - RJ ;14741;4;
Cliente Ficticio 943;R DOS CEDROS,   137 - JARDIM SAO PAULO - AMERICANA - SP ;30669;4;
Cliente Ficticio 944;AV ATLANTICA,  1757 - SOCORRO - SAO PAULO - SP ;11348;4;
Cliente Ficticio 945;R ROBERIO DIAS,    66 - VILA EMA - SAO PAULO - SP ;26087;4;
Cliente Ficticio 946;AV DOS DEMOCRATICOS,   880, APT 303 - HIGIENOPOLIS - RIO DE JANEIRO - RJ ;20173;4;
Cliente Ficticio 947;R MAGNO MARTINS,   182, CASA 114 - FREGUESIA (ILHA DO GOVERNADOR) - RIO DE JANEIRO - RJ ;11178;4;
Cliente Ficticio 948;R EMBOABAS,   329 - JD S FRANCISCO - SANTA BARBARA D OESTE - SP ;27375;4;
Cliente Ficticio 949;R DURVALINO RESENDE,  1654 - JARDIM ALVORADA - FRANCA - SP ;14980;4;
Cliente Ficticio 951;R CD DE BONFIM,   540, BL B, COB 2 - TIJUCA - RIO DE JANEIRO - RJ ;30314;4;
Cliente Ficticio 952;R RIVALDO GOES TEIXEIRA,   405,   , APT 11 - JARDIM GUAPITUBA - MAUA - SP ;14843;4;
Cliente Ficticio 953;SGAN, QD 911, MD G, BL I, APT 222 - ASA NORTE - BRASILIA - DF ;20654;4;
Cliente Ficticio 954;AV PRES JOAO GOULART,1,BL ARIZONA, APT 176 - UMUARAMA - OSASCO - SP ;10421;4;
Cliente Ficticio 955;R JOAO BISSOTTO FILHO,  1724, BL 1, APT 1 - ORTIZES - VALINHOS - SP ;252;4;
Cliente Ficticio 956;R MINEIROS DO TIETE,85 - VILA BANCARIA MUNHOZ - SAO PAULO - SP ;18435;4;
Cliente Ficticio 957;R CAPIVARI,   358, / B - NOVA GERTY - SAO CAETANO DO SUL - SP ;6352;4;
Cliente Ficticio 958;R ARANTINA,    83 - JARDIM CARIOCA - RIO DE JANEIRO - RJ ;33378;4;
Cliente Ficticio 959;R MARIO RUSSO,262 - PARQUE BRASIL - BRAGANCA PAULISTA - SP ;14829;4;
Cliente Ficticio 961;R JOAQUIM LOPES FIGUEIRA,   169 - MOOCA - SAO PAULO - SP ;32364;4;
Cliente Ficticio 963;R ALICANTE (CJ TAPAJOS),    14, CASA B - TAPANA (ICOARACI) - BELEM - PA ;13980;4;
Cliente Ficticio 964;R LEANDRO DE CARVALHO,   128 - VILA MONUMENTO - SAO PAULO - SP ;18931;4;
Cliente Ficticio 965;R CNSO LAFAIETE,98,APTO 309 - EMBARE - SANTOS - SP ;19607;4;
Cliente Ficticio 966;AV PE ARLINDO VIEIRA,   898, BL ISABEL, APT 245 - VILA VERMELHA - SAO PAULO - SP ;13339;4;
Cliente Ficticio 967;R JOSE CODINA,29,APT/ 23 - JARDIM SAO SILVESTRE - SAO PAULO - SP ;50670;4;
Cliente Ficticio 968;R FERNANDO DE AZEVEDO,   130, BL 5A, APT 102 - PORTUGUESA - RIO DE JANEIRO - RJ ;21520;4;
Cliente Ficticio 969;R PARAGUAI,   140, BL SOARES TEIXEIRA, APT 11 - GONZAGA - SANTOS - SP ;30540;4;
Cliente Ficticio 970;AV TORE ALBERT MUNCK,   140, CS ** - JARDIM LEONOR - COTIA - SP ;22491;4;
Cliente Ficticio 971;EST DE SEPETIBA,663,CASA 1 - SANTA CRUZ - RIO DE JANEIRO - RJ ;12082;4;
Cliente Ficticio 972;R ORLANDO CARPI,331 - CRUZ DAS ALMAS - ITU - SP ;10893;4;
Cliente Ficticio 973;R JOAO PAULO II,622 - JARDIM FLORIDA - EMBU - SP ;20603;4;
Cliente Ficticio 974;R ORLANDO PELEGRINO,    18 - LAUZANE PAULISTA - SAO PAULO - SP ;50664;4;
Cliente Ficticio 975;R PELEGRINO BERNARDO,    70 - OLIMPICO - SAO CAETANO DO SUL - SP ;19197;4;
Cliente Ficticio 976;AV VICENTE DE CARVALHO,     4, BL BRASILIA, APT 11 - BOQUEIRAO - SANTOS - SP ;40824;4;
Cliente Ficticio 977;R FR MANOEL DA RESSURREICAO,1571 - JARDIM BRASIL - CAMPINAS - SP ;1941;4;
Cliente Ficticio 978;R TIRADENTES,1815,BL 1 AP 14 - SANTA TEREZINHA - SAO BERNARDO DO CAMPO - SP ;11315;4;
Cliente Ficticio 979;R RIO GRANDE DO SUL,  1707, SALA 07 - JARDIM DOS ESTADOS - CAMPO GRANDE - MS ;7378;4;
Cliente Ficticio 980;R DAS PROMESSAS,   624 - VILA MEDEIROS - SAO PAULO - SP ;18110;4;
Cliente Ficticio 981;PAS DOS FLAMBOYANTS,   200, T 1I - PARQUE FABER CASTELL I - SAO CARLOS - SP ;13054;4;
Cliente Ficticio 982;AV POMPEIA,  1235, CASA 97 - NOVA POMPEIA - PIRACICABA - SP ;24020;4;
Cliente Ficticio 983;R JOSE LOPES DA SILVA,   158, CASA 4 - VILA ANTONIO - SAO PAULO - SP ;18094;4;
Cliente Ficticio 984;R JOAO TEODORO,   722, CASA B - VILA INDUSTRIAL - CAMPINAS - SP ;37124;4;
Cliente Ficticio 985;R BELA VISTA,    11, APT 111 - JARDIM BELA VISTA - SANTO ANDRE - SP ;27943;4;
Cliente Ficticio 987;R FERNANDES VALDEZ,    64, APT 303 - HIGIENOPOLIS - RIO DE JANEIRO - RJ ;32929;4;
Cliente Ficticio 988;EST COPIUVA,   406, CASA 01 - VILA DA OPORTUNIDADE - CARAPICUIBA - SP ;17955;4;
Cliente Ficticio 989;AV NONOAI,  1458, BL N, APT 218 - NONOAI - PORTO ALEGRE - RS ;42072;4;
Cliente Ficticio 990;R MONTE SANTO,   128, CASA 13 - IRAJA - RIO DE JANEIRO - RJ ;13838;4;
Cliente Ficticio 991;R DR FRANCISCO JOSE LONGO,359,CASA - CHACARA INGLESA - SAO PAULO - SP ;46723;4;
Cliente Ficticio 992;R 3, QD B, LT 05 - RESIDENCIAL NOSSA MORADA - GOIANIA - GO ;2056;4;
Cliente Ficticio 994;R GUSTAVO DA PAIXAO,     7 - QUARTA PARADA - SAO PAULO - SP ;3231;4;
Cliente Ficticio 995;R PE ANCHIETA,    46, APT 84 - CENTRO - SAO VICENTE - SP ;22355;4;
Cliente Ficticio 997;R JARDINOPOLIS,   274 - SANTO ANTONIO - OSASCO - SP ;29772;4;
Cliente Ficticio 998;R DA ROMANA,309,BLOCO 3B APT 207 - ENGENHO NOVO - RIO DE JANEIRO - RJ ;59951;4;
Cliente Ficticio 999;R BENEDITO DA CUNHA CAMPOS,535,BLOCO 12A APTO 401 - JARDIM NAZARETH - MOGI MIRIM - SP ;15626;4;
Cliente Ficticio 1000;R EROS EMILIO TUROLLA,29244 - JARDIM QUIETUDE - PRAIA GRANDE - SP ;28935;4;
Cliente Ficticio 1001;R GABRIELA,   985, CS 1 - PARQUE DOS CAMARGOS - BARUERI - SP ;8941;4;
Cliente Ficticio 1002;R SERRA DE BRAGANCA,  1555, BL A, APT 121 - VILA GOMES CARDIM - SAO PAULO - SP ;21424;4;
Cliente Ficticio 1003;AV DA SAUDADE,   796 - CAMPOS ELISEOS - RIBEIRAO PRETO - SP ;20425;4;
Cliente Ficticio 1004;R DOLORES DE AQUINO,  1120, BL A, APT 1 - JUNDIAPEBA - MOGI DAS CRUZES - SP ;19543;4;
Cliente Ficticio 1005;R ALBERTO SCHWEITZER,3 - PINHEIRINHO - CURITIBA - PR ;17384;4;
Cliente Ficticio 1006;R VINTE E OITO DE SETEMBRO,   253, CASA 1 - CANHEMA - DIADEMA - SP ;21827;4;
Cliente Ficticio 1007;R FIORAVANTE ZAPATERRA,    12 - CJ RES L E C CESAR - MARILIA - SP ;34841;4;
Cliente Ficticio 1008;R DA BRIGIDA,   197, APT 121 - VILA MARIANA - SAO PAULO - SP ;17583;4;
Cliente Ficticio 1009;R NAIR PALMA MATIOLI,    75 - JARDIM DIVA TARLA DE CARVALHO - RIBEIRAO PRETO - SP ;15206;4;
Cliente Ficticio 1010;AV ANTONIO MARTINS BORGES, 10000, QD 94, LT 16 - SETOR PEDRO LUDOVICO - GOIANIA - GO ;2000;4;
Cliente Ficticio 1011;AV BANDEIRANTES,  2167, CASA 1 - JARDIM IPE IV - MOGI GUACU - SP ;6552;4;
Cliente Ficticio 1012;R ADOLPHO FERREIRA SOARES FILHO,389,AP 205 - JARDIM CIDADE UNIVERSITARIA - JOAO PESSOA - PB ;18777;4;
Cliente Ficticio 1013;R DAS PAINEIRAS,   377, APT 183 - JARDIM - SANTO ANDRE - SP ;27252;4;
Cliente Ficticio 1014;ROD RST-509,  2186 - PE DE PLATANO - SANTA MARIA - RS ;28496;4;
Cliente Ficticio 1015;R CAP JOAO CESARIO,   127, APT 13 - PENHA DE FRANCA - SAO PAULO - SP ;10783;4;
Cliente Ficticio 1016;R LIBORIO MONALDO STILLITANO,    86 - PARQUE SAO BENTO - SOROCABA - SP ;24313;4;
Cliente Ficticio 1017;AL EUCLYDES COTRIM,   233, CASA 3 - VALE DO PARAISO - TERESOPOLIS - RJ ;19874;4;
Cliente Ficticio 1018;R ALVARO ABRANCHES,  1325 - CIDADE NOVA - FRANCA - SP ;18744;4;
Cliente Ficticio 1019;R JORN PAULINO DE ALMEIDA,   168, CASA 02 - CAJURU - CURITIBA - PR ;26176;4;
Cliente Ficticio 1020;R FR VICENTE DO SALVADOR,230,APT 44 - SANTANA - SAO PAULO - SP ;58462;4;
Cliente Ficticio 1021;R ANTONIO GIGLIOTE,   114 - JARDIM TANGARA - SAO CARLOS - SP ;11266;4;
Cliente Ficticio 1023;R JORGE BERETTA,   945, BL 6, APT 131 - PARQUE ERASMO ASSUNCAO - SANTO ANDRE - SP ;24588;4;
Cliente Ficticio 1024;R DO CARLAO,   627 - VILA LUCINDA - SANTO ANDRE - SP ;20569;4;
Cliente Ficticio 1025;R ANTONIO CARLOS NEVES,15 - CHACARAS CAMPOS ELISEOS - CAMPINAS - SP ;25661;4;
Cliente Ficticio 1026;R JAU GUEDES DA FONSECA,   175, ED FONTANA DE TREVI, APT 201 - COQUEIROS - FLORIANOPOLIS - SC ;19916;4;
Cliente Ficticio 1027;R LAGUNA,22,CS 1 - VILA MENK - OSASCO - SP ;49868;4;
Cliente Ficticio 1028;RUA DAMASCO,16 - PLANALTO - MANAUS - AM ;7271;4;
Cliente Ficticio 1029;R MARACANA,1611 - CAPELA VELHA - ARAUCARIA - PR ;14463;4;
Cliente Ficticio 1030;AV ADOLFO PINHEIRO,   760, BL A, APT 233 - SANTO AMARO - SAO PAULO - SP ;22926;4;
Cliente Ficticio 1031;R DOVER,     7, FD - JD STA EDWIGES (C SOCORRO) - SAO PAULO - SP ;26439;4;
Cliente Ficticio 1033;AV BOA VIAGEM,   220, ED ALFREDO MAURICEIA, BL B, APT 404 - BAIRRO INDEFINIDO - RECIFE - PE ;35083;4;
Cliente Ficticio 1034;VLA ERNESTO CARLOS COSTA,    20 - PESTANA - OSASCO - SP ;37648;4;
Cliente Ficticio 1035;R JOSE FARIAS MOREIRA,   194 - VILA CRUZEIRO - SAO PAULO - SP ;22946;4;
Cliente Ficticio 1036;R DALVA DE MATOS,   139 - RIO BRANCO - BELO HORIZONTE - MG ;12586;4;
Cliente Ficticio 1037;R DR GUEDES COELHO,    81, BL SEM NOME, APT 83 - ENCRUZILHADA - SANTOS - SP ;36053;4;
Cliente Ficticio 1038;R RIO DE JANEIRO,    32, BL B, APT 43 - VILA BELMIRO - SANTOS - SP ;19129;4;
Cliente Ficticio 1039;R JOAO EVANGELISTA FERRAZ,    53 - JARDIM BRASIL - LIMEIRA - SP ;7981;4;
Cliente Ficticio 1040;EST DO ENGENHO D'AGUA,  1220, CASA 49 - ANIL - RIO DE JANEIRO - RJ ;38110;4;
Cliente Ficticio 1041;R DAS CARPAS,   166 - SALTO DE SAO JOSE - SALTO - SP ;9608;4;
Cliente Ficticio 1042;R CEARA,  1038 - SAO CRISTOVAO - LAJEADO - RS ;22222;4;
Cliente Ficticio 1043;R TAQUARITUBA,   142 - JARDIM PARAISO - GUARULHOS - SP ;9122;4;
Cliente Ficticio 1044;R REGO BARROS,   375, BL 2, APT 75 - JARDIM VILA FORMOSA - SAO PAULO - SP ;39642;4;
Cliente Ficticio 1045;R PEDRO RONCHESEL,    85 - CHACARA BELA VISTA - JAU - SP ;32024;4;
Cliente Ficticio 1046;R DOMINGOS GONCALO,   293 - JARDIM CAMPO GRANDE - SAO PAULO - SP ;16938;4;
Cliente Ficticio 1047;R DR NASCIMENTO,   261, BL 1, APT 301 - CENTRO - RIO GRANDE - RS ;20908;4;
Cliente Ficticio 1048;R ANTONIO VIEIRA.,   574 - ORFAS - PONTA GROSSA - PR ;22426;4;
Cliente Ficticio 1049;R DA FONTE,169,AP 82 ASTER - JARDIM BELA VISTA - SANTO ANDRE - SP ;19692;4;
Cliente Ficticio 1050;R FORTE,   187 - VILA NAIR - SAO PAULO - SP ;5082;4;
Cliente Ficticio 1051;R STO ANDRE,   110 - TV - ARACATUBA - SP ;7517;4;
Cliente Ficticio 1052;R RECIFE,   256 - JARDIM NOVA CANDIDA - ARARAS - SP ;17987;4;
Cliente Ficticio 1053;R EDSON BARRETO PEIXOTO,   145 - BETANIA - BELO HORIZONTE - MG ;16674;4;
Cliente Ficticio 1054;R VICTORIO ANTONIO MENEZELLO,293 - JARDIM MARACANA - SAO JOSE DO RIO PRETO - SP ;16023;4;
Cliente Ficticio 1056;R PRF HERMES LIMA,  1410, APT 303 - RECREIO DOS BANDEIRANTES - RIO DE JANEIRO - RJ ;49839;4;
Cliente Ficticio 1057;R JOAO DANIEL MARTINELLI,2,QD 41 - FARRAPOS - PORTO ALEGRE - RS ;27304;4;
Cliente Ficticio 1059;R VINTE E CINCO DE AGOSTO,    65, BL 02, APT 1002 - DUQUE DE CAXIAS II - CUIABA - MT ;13730;4;
Cliente Ficticio 1060;AV FAUSTO SUCENA RASGA,   575 - JARDIM RESIDENCIAL VETORASSO - SAO JOSE DO RIO PRETO - SP ;17961;4;
Cliente Ficticio 1061;R ANGELO RIZZI,    54 - JARDIM SANTA CAROLINA - MOGI DAS CRUZES - SP ;14269;4;
Cliente Ficticio 1062;R MIN GASTAO MESQUITA,43,BL 2 - PERDIZES - SAO PAULO - SP ;26916;4;
Cliente Ficticio 1063;R ELIAS GOMES,0,QD I LT 09 CASA 02 - VILA SANTA MARIA DE NAZARETH - ANAPOLIS - GO ;24115;4;
Cliente Ficticio 1064;R APUCARANA (CJ M NOVO),    19, QD O - CIDADE NOVA - MANAUS - AM ;24953;4;
Cliente Ficticio 1065;R FAGUNDES VARELA,   177 - SANTO ANTONIO - PORTO ALEGRE - RS ;17727;4;
Cliente Ficticio 1066;AV DOS BANCARIOS,    71 - PONTA DA PRAIA - SANTOS - SP ;21684;4;
Cliente Ficticio 1067;EST DA FAZENDA,    48 - JARDIM ESPLANADA - NOVA IGUACU - RJ ;24666;4;
Cliente Ficticio 1070;R AURISTELA MAIA FARIAS,    35 - ENGENHEIRO LUCIANO CAVALCANTE - FORTALEZA - CE ;9491;4;
Cliente Ficticio 1071;AV EUROPA,    46 - ZONA 06 - CIANORTE - PR ;3185;4;
Cliente Ficticio 1072;R MACUXIS,   490, APT 3 - VILA NOVA CACHOEIRINHA - SAO PAULO - SP ;20152;4;
Cliente Ficticio 1073;R BRG HENRIQUE FONTENELLE,1163,CASA 3 - PARQUE SAO DOMINGOS - SAO PAULO - SP ;22467;4;
Cliente Ficticio 1074;R GEN OSORIO,   191, BL B, APT 104 - CENTRO - PELOTAS - RS ;7071;4;
Cliente Ficticio 1075;R VOLUNTARIOS DA PATRIA,    86, BL B, APT 905 - BOTAFOGO - RIO DE JANEIRO - RJ ;26936;4;
Cliente Ficticio 1076;R ESPIRITO SANTO,   275 - ACLIMACAO - SAO PAULO - SP ;11326;4;
Cliente Ficticio 1077;AV TRAB SANCARLENSE,  1220 - PARQUE ARNOLD SCHIMIDT - SAO CARLOS - SP ;61492;4;
Cliente Ficticio 1078;R 7,  1955 - CENTRO - RIO CLARO - SP ;25070;4;
Cliente Ficticio 1079;R DR MELO ALVES,   368 - CERQUEIRA CESAR - SAO PAULO - SP ;29297;4;
Cliente Ficticio 1080;R S SEVERO,567 - VL RE - SAO PAULO - SP ;21843;4;
Cliente Ficticio 1081;R UBAI,    40, CASA B - IPIRANGA - BELO HORIZONTE - MG ;20610;4;
Cliente Ficticio 1082;R LUIZ GASTAO,   226, CASA 1 - PARQUE SAO LUCAS - SAO PAULO - SP ;16454;4;
Cliente Ficticio 1083;R DR MACHADO,   645, ED DANIELA, BL A, APT 01 - CAMPO GRANDE - RECIFE - PE ;3079;4;
Cliente Ficticio 1084;R OLAVO BILAC, QD 6, - 3 - JARDIM BELA VISTA - BAURU - SP ;15133;4;
Cliente Ficticio 1085;R ANANIAS E DE TOLEDO,   770 - VILA PRADO - SAO CARLOS - SP ;5927;4;
Cliente Ficticio 1086;R ITA,   267, APT 23 - VILA SANTOS - SAO PAULO - SP ;22933;4;
Cliente Ficticio 1087;R CHAVANTES,   156 - CIDADE ARISTON ESTELA AZEVEDO - CARAPICUIBA - SP ;15267;4;
Cliente Ficticio 1088;R NEREU RAMOS,   618, CASA 3 - JARDIM ELDORADO - PALHOCA - SC ;31946;4;
Cliente Ficticio 1089;R CAMPOS SALES,  2063 - ZONA 06 - MARINGA - PR ;32545;4;
Cliente Ficticio 1090;R JOAO BATISTA FERNANDES,   587, CASA 2 - VILA INDUSTRIAL - SAO PAULO - SP ;7501;4;
Cliente Ficticio 1091;R MIGUEL PETRILLI,   250, BL 10 - FLOR DE LIZ, APT 21 - VILA JARAGUA - SAO PAULO - SP ;10558;4;
Cliente Ficticio 1092;SUL, QD 05, CJ F, CASA 08 - GAMA - BRASILIA - DF ;18197;4;
Cliente Ficticio 1093;R RUI BARBOSA,   410, BL PORTAL DO SOL VIII, APT 302 - CANTO DO FORTE - PRAIA GRANDE - SP ;23338;4;
Cliente Ficticio 1095;R MQ DE MARICA,   308 - VILA NOVA - JOINVILLE - SC ;15414;4;
Cliente Ficticio 1096;AV BANDEIRANTES,291,APT 101 - SION - BELO HORIZONTE - MG ;26055;4;
Cliente Ficticio 1097;R GOV PEDRO DE TOLEDO,   101, BL SANTA ADELAIDE, APT 51 - BOQUEIRAO - SANTOS - SP ;28585;4;
Cliente Ficticio 1098;R ALIANCA LIBERAL,540 - BELA ALIANCA - SAO PAULO - SP ;9801;4;
Cliente Ficticio 1099;R CDOR GENESIO RODRIGUES,   100, BL 16, APT 1631 - CAGUASSU - SOROCABA - SP ;14759;4;
Cliente Ficticio 1101;R CAMARA JUNIOR,  1069 - JARDIM DAS AMERICAS - CURITIBA - PR ;34073;4;
Cliente Ficticio 1102;AL CON ANIBAL DIFRANCIA, QD 10, - 4 - PARQUE ALTO SUMARE - BAURU - SP ;41295;4;
Cliente Ficticio 1103;PC WASHINGTON,96,BL COSTA DO SOL, APT 92 - JOSE MENINO - SANTOS - SP ;49311;4;
Cliente Ficticio 1105;R S MATEUS,   159 - I.A.P.I. - OSASCO - SP ;12787;4;
Cliente Ficticio 1106;R DOS PINTORES,   131, BL C, APT 13 - VILA PRUDENTE - SAO PAULO - SP ;20107;4;
Cliente Ficticio 1107;R BRAZ CUBAS,    55 - NOVA GUARA - GUARATINGUETA - SP ;9883;4;
Cliente Ficticio 1108;R ADIS ABEBA,   397, APT 31 - RIO VERDE - COLOMBO - PR ;17292;4;
Cliente Ficticio 1109;R DANUBIO AZUL,   359, CASA 2 - JARDIM GUANCA - SAO PAULO - SP ;22915;4;
Cliente Ficticio 1110;R LEOVEGILDO MARTINS FONTES,   200, APT 601 - FAROLANDIA - ARACAJU - SE ;21093;4;
Cliente Ficticio 1111;R JERONIMO FRANCA,123,CASA 1 - VILA INDIANA - SAO PAULO - SP ;17532;4;
Cliente Ficticio 1112;R CD DE BAEPENDI,    62, APT 508 - FLAMENGO - RIO DE JANEIRO - RJ ;44456;4;
Cliente Ficticio 1113;R SOROCABA,   518 - CIDADE NOVA II - SANTA BARBARA D OESTE - SP ;19315;4;
Cliente Ficticio 1115;TV CRISTOVAO COLOMBO,  1292, FT - CRUZEIRO (ICOARACI) - BELEM - PA ;9126;4;
Cliente Ficticio 1116;R PRF ARNALDO JOAO SEMERARO,   789, BL 3, APT 73 - JARDIM SANTA EMILIA - SAO PAULO - SP ;12311;4;
Cliente Ficticio 1117;R ARISTIDES INACIO RODRIGUES,   437 - FREI GALVAO - POTIM - SP ;19140;4;
Cliente Ficticio 1118;R PRF DR MASAHARU TANIGUSHI,  1113 - JARDIM MORADA DO SOL - INDAIATUBA - SP ;12791;4;
Cliente Ficticio 1119;R CHICAGO,   806, CASA 1 - JARDIM LOS ANGELES - MARINGA - PR ;24812;4;
Cliente Ficticio 1120;R PIERRE BONNET,   508 - PARQUE IPE - SAO PAULO - SP ;9612;4;
Cliente Ficticio 1121;R OSWALDO GABALDO,   305 - JARDIM DIVA TARLA DE CARVALHO - RIBEIRAO PRETO - SP ;19381;4;
Cliente Ficticio 1122;R GUARUJA,   269 - PARQUE NOVO MUNDO - AMERICANA - SP ;14392;4;
Cliente Ficticio 1123;R 29 ( CJ C BRANCO),  1198 - PARQUE 10 DE NOVEMBRO - MANAUS - AM ;31200;4;
Cliente Ficticio 1124;AV EZELINO DA CUNHA GLORIA,   630, BL 3, APT 12 - JARDIM MARICA - MOGI DAS CRUZES - SP ;14165;4;
Cliente Ficticio 1125;R ESTRELA RODRIGUES,   316, APT 223,   BL2 - JARDIM LAS PALMAS - GUARUJA - SP ;35441;4;
Cliente Ficticio 1126;R VALDEMIR PANELLI DAS DORES,   124 - JARDIM CASA GRANDE - ITAPETININGA - SP ;18728;4;
Cliente Ficticio 1127;R GUATEMALA,60,APT 51 - SANTO ANTONIO - AMERICANA - SP ;21625;4;
Cliente Ficticio 1128;R FERNAO DIAS PAES,   416,   F2 - DOM PEDRO - MANAUS - AM ;38958;4;
Cliente Ficticio 1129;R PRF ANTONIO DE QUEIROS FILHO,   199 - OLIMPICO - SAO CAETANO DO SUL - SP ;23085;4;
Cliente Ficticio 1131;R RUBIACEA,147 - AGUA FRIA - SAO PAULO - SP ;18951;4;
Cliente Ficticio 1132;R PRF GONCALO D FERREIRA,   265 - PARQUE DO HORTO - FRANCA - SP ;17435;4;
Cliente Ficticio 1133;R JOSE GALVAO CESAR,   418 - SAO DIMAS - GUARATINGUETA - SP ;11314;4;
Cliente Ficticio 1134;R SEBASTIAO VASCONCELOS FILHO,180,BLOCO C APT 52 - JARDIM MARICA - MOGI DAS CRUZES - SP ;20066;4;
Cliente Ficticio 1135;R S FIDELIS,   310, CASA 1 - JAGUARE - SAO PAULO - SP ;10136;4;
Cliente Ficticio 1136;R CANDIDO BENICIO,  2935, BL M, APT 302 ENT 5 - PRACA SECA - RIO DE JANEIRO - RJ ;22180;4;
Cliente Ficticio 1137;R AMADOR BUENO DA RIBEIRA,   366 - NOVA ESPERANCA - BALNEARIO CAMBORIU - SC ;27846;4;
Cliente Ficticio 1138;R POTENGI,   562, FD 1 - VILA DAINESE - AMERICANA - SP ;12946;4;
Cliente Ficticio 1139;AV SEN VERGUEIRO,  2685, BL 3B, APT 112 - ANCHIETA - SAO BERNARDO DO CAMPO - SP ;5659;4;
Cliente Ficticio 1141;CJ IMPERIAL,115 - PARQUE 10 DE NOVEMBRO - MANAUS - AM ;27177;4;
Cliente Ficticio 1142;R FLAMINIO LEVY,   245, BL 9, APT 67 - SABOO - SANTOS - SP ;19453;4;
Cliente Ficticio 1143;R VINTE E OITO DE SETEMBRO,   710, UNID 2 - CENTRO - SANTA CRUZ DO SUL - RS ;11825;4;
Cliente Ficticio 1144;AV S JOSE,  1467 - CENTRO - ARARAQUARA - SP ;20080;4;
Cliente Ficticio 1145;R DAVID NASSER,   470 - RESIDENCIAL PARQUE CUMBICA - GUARULHOS - SP ;36929;4;
Cliente Ficticio 1146;R ITAPEMIRIM,    80 - PACAEMBU - SAO PAULO - SP ;60556;4;
Cliente Ficticio 1147;AV VIENA,   243, APT 204 - SAO GERALDO - PORTO ALEGRE - RS ;29847;4;
Cliente Ficticio 1148;R ANTONIO PETRUZZIELLO,32 - PILARZINHO - CURITIBA - PR ;2284;4;
Cliente Ficticio 1149;R 1, QD 03, LT 26 - SETOR SAO JOSE - GOIANIA - GO ;24787;4;
Cliente Ficticio 1150;R MQ DE SAPUCAI,   336 - CENTRO - SABARA - MG ;16691;4;
Cliente Ficticio 1151;R NAVIRAI,   201 - VILA MARGARIDA - CAMPO GRANDE - MS ;21514;4;
Cliente Ficticio 1152;AV SEN PINHEIRO MACHADO,536 - MARAPE - SANTOS - SP ;13968;4;
Cliente Ficticio 1153;R WALDEMAR FALCAO,  1547, TOR A, APT 702 - HORTO FLORESTAL - SALVADOR - BA ;19873;4;
Cliente Ficticio 1154;AV DES MILTON DOS REIS,    91 - ITAPOA - BELO HORIZONTE - MG ;16773;4;
Cliente Ficticio 1155;R GEN OSORIO,  3927, APT 302 - AGUA VERDE - BLUMENAU - SC ;33804;4;
Cliente Ficticio 1156;R INHAUMA,   980 - JARDIM IPIRANGA - AMERICANA - SP ;490;4;
Cliente Ficticio 1157;R TOQUIO,    56, CASA 1 - CENTRO - DIADEMA - SP ;20437;4;
Cliente Ficticio 1158;AV ALTOS DO SANTA RITA,   210 - HIPICA - PORTO ALEGRE - RS ;32002;4;
Cliente Ficticio 1159;R LUIS GAMA,   164 - SANTA PAULA - SAO CAETANO DO SUL - SP ;4538;4;
Cliente Ficticio 1160;R DOMINGOS DENUCCI,24 - MORADA DO SOL - AMERICANA - SP ;21041;4;
Cliente Ficticio 1161;R BARTOLOMEU DE GUSMAO,70,APT 102A - VILA SAO FRANCISCO - MAUA - SP ;11385;4;
Cliente Ficticio 1162;R COMBU,    96, APT 103 - JARDIM CARIOCA - RIO DE JANEIRO - RJ ;21077;4;
Cliente Ficticio 1163;R MONACO,   410 - JARDIM TEXTIL - SAO PAULO - SP ;28432;4;
Cliente Ficticio 1164;R MIN RAUL FERNANDES,    43, APT 904 - BOTAFOGO - RIO DE JANEIRO - RJ ;21200;4;
Cliente Ficticio 1165;R DR ARISTIDES VILLAR,   491 - OITIZEIRO - JOAO PESSOA - PB ;24916;4;
Cliente Ficticio 1167;QUADRA 110, CJ 11, LT 14, CASA 02 - RECANTO DAS EMAS - BRASILIA - DF ;17203;4;
